,precision,recall,f1-score,support
gyoza,0.7767857142857143,0.5272727272727272,0.628158844765343,165.0
khinkali,0.9207920792079208,0.5740740740740741,0.7072243346007605,162.0
manti,0.5082644628099173,0.7987012987012987,0.6212121212121212,154.0
pelmeni,0.6810810810810811,0.7924528301886793,0.7325581395348837,159.0
accuracy,0.6703125,0.6703125,0.6703125,0.6703125
macro avg,0.7217308343461584,0.6731252325591948,0.6722883600282771,640.0
weighted avg,0.7248477794585081,0.6703125,0.6724374413192469,640.0
