,precision,recall,f1-score,support
gyoza,0.9864,0.9975728155339806,0.9919549477071601,1236.0
khinkali,0.9893617021276596,0.9928825622775801,0.9911190053285968,843.0
manti,0.9779179810725552,0.9935897435897436,0.985691573926868,936.0
pelmeni,0.9946808510638298,0.9619341563786008,0.9780334728033473,972.0
accuracy,0.9869576122397793,0.9869576122397793,0.9869576122397793,0.9869576122397793
macro avg,0.9870901335660112,0.9864948194449763,0.9866997499414931,3987.0
weighted avg,0.9870537578157942,0.9869576122397793,0.9869138413891295,3987.0
